config_id,src,dst,size,repetition,duration_ns,duration_us
48,1,2,954437290,1,209321299.0,209321.299
48,1,2,954437290,2,209672530.0,209672.53
48,1,2,954437290,3,210357701.0,210357.701
48,1,2,954437290,4,210516816.0,210516.816
49,1,2,1073741824,0,236238631.0,236238.631
49,1,2,1073741824,1,236542608.0,236542.608
49,1,2,1073741824,2,235721272.0,235721.272
49,1,2,1073741824,3,235789838.0,235789.838
49,1,2,1073741824,4,236314049.0,236314.049
50,1,3,1024,0,8224.0,8.224
50,1,3,1024,1,6976.0,6.976
50,1,3,1024,2,6880.0,6.88
50,1,3,1024,3,7232.0,7.232
50,1,3,1024,4,6848.0,6.848
51,1,3,119305557,0,24039631.0,24039.631
51,1,3,119305557,1,24559693.0,24559.693
51,1,3,119305557,2,25036970.0,25036.97
51,1,3,119305557,3,24540325.0,24540.325
51,1,3,119305557,4,24942397.0,24942.397
52,1,3,238610090,0,49230019.0,49230.019
52,1,3,238610090,1,49070763.0,49070.763
52,1,3,238610090,2,49114219.0,49114.219
52,1,3,238610090,3,49225685.0,49225.685
52,1,3,238610090,4,49519732.0,49519.732
53,1,3,357914624,0,73788812.0,73788.812
53,1,3,357914624,1,72848635.0,72848.635
53,1,3,357914624,2,74037693.0,74037.693
53,1,3,357914624,3,73142985.0,73142.985
53,1,3,357914624,4,73853491.0,73853.491
54,1,3,477219157,0,98007849.0,98007.849
54,1,3,477219157,1,96685900.0,96685.9
54,1,3,477219157,2,97386195.0,97386.195
54,1,3,477219157,3,98923432.0,98923.432
54,1,3,477219157,4,97596806.0,97596.806
55,1,3,596523690,0,113556169.0,113556.169
55,1,3,596523690,1,120408993.0,120408.993
55,1,3,596523690,2,122595384.0,122595.384
55,1,3,596523690,3,121770450.0,121770.45
55,1,3,596523690,4,122370694.0,122370.694
56,1,3,715828224,0,145216833.0,145216.833
56,1,3,715828224,1,147391931.0,147391.931
56,1,3,715828224,2,146269939.0,146269.939
56,1,3,715828224,3,145691174.0,145691.174
56,1,3,715828224,4,145626252.0,145626.252
57,1,3,835132757,0,172291556.0,172291.556
57,1,3,835132757,1,159551101.0,159551.101
57,1,3,835132757,2,169179236.0,169179.236
57,1,3,835132757,3,170092488.0,170092.488
57,1,3,835132757,4,172112604.0,172112.604
58,1,3,954437290,0,194740865.0,194740.865
58,1,3,954437290,1,194542613.0,194542.613
58,1,3,954437290,2,193896874.0,193896.874
58,1,3,954437290,3,196623754.0,196623.754
58,1,3,954437290,4,195295441.0,195295.441
59,1,3,1073741824,0,219181494.0,219181.494
59,1,3,1073741824,1,220445304.0,220445.304
59,1,3,1073741824,2,220737480.0,220737.48
59,1,3,1073741824,3,219393696.0,219393.696
59,1,3,1073741824,4,220087769.0,220087.769
60,2,0,1024,0,7680.0,7.68
60,2,0,1024,1,7072.0,7.072
60,2,0,1024,2,7200.0,7.2
60,2,0,1024,3,6944.0,6.944
60,2,0,1024,4,7105.0,7.105
61,2,0,119305557,0,72769244.0,72769.244
61,2,0,119305557,1,72996541.0,72996.541
61,2,0,119305557,2,71355148.0,71355.148
61,2,0,119305557,3,72774970.0,72774.97
61,2,0,119305557,4,72681068.0,72681.068
62,2,0,238610090,0,145130430.0,145130.43
62,2,0,238610090,1,146251325.0,146251.325
62,2,0,238610090,2,142759788.0,142759.788
62,2,0,238610090,3,144587877.0,144587.877
62,2,0,238610090,4,147682949.0,147682.949
63,2,0,357914624,0,218552620.0,218552.62
63,2,0,357914624,1,218196959.0,218196.959
63,2,0,357914624,2,223119759.0,223119.759
63,2,0,357914624,3,217294047.0,217294.047
63,2,0,357914624,4,220027279.0,220027.279
64,2,0,477219157,0,292775013.0,292775.013
64,2,0,477219157,1,291832357.0,291832.357
64,2,0,477219157,2,294562255.0,294562.255
64,2,0,477219157,3,294801595.0,294801.595
64,2,0,477219157,4,290938972.0,290938.972
65,2,0,596523690,0,365772365.0,365772.365
65,2,0,596523690,1,363467096.0,363467.096
65,2,0,596523690,2,363725747.0,363725.747
65,2,0,596523690,3,364545748.0,364545.748
65,2,0,596523690,4,364584412.0,364584.412
66,2,0,715828224,0,437872375.0,437872.375
66,2,0,715828224,1,433769969.0,433769.969
66,2,0,715828224,2,439281860.0,439281.86
66,2,0,715828224,3,434366088.0,434366.088
66,2,0,715828224,4,434287872.0,434287.872
