timestamp_abs,elapsed_s,gpu_id,temperature,power,clock_graphics
1769083206.6743689,9493.781772375107,3,58.0,45.53,1590.0
1769083208.2555661,9495.362969636917,0,55.0,43.35,1590.0
1769083208.2555661,9495.362969636917,1,55.0,42.08,1590.0
1769083208.2555661,9495.362969636917,2,57.0,45.14,1590.0
1769083208.2555661,9495.362969636917,3,58.0,44.56,1590.0
1769083209.8100562,9496.917459726334,0,55.0,43.32,1590.0
1769083209.8100562,9496.917459726334,1,54.0,42.67,1590.0
1769083209.8100562,9496.917459726334,2,57.0,43.49,1590.0
1769083209.8100562,9496.917459726334,3,58.0,45.82,1590.0
1769083211.3844361,9498.491839647293,0,55.0,43.32,1590.0
1769083211.3844361,9498.491839647293,1,55.0,43.54,1590.0
1769083211.3844361,9498.491839647293,2,57.0,43.68,1590.0
1769083211.3844361,9498.491839647293,3,58.0,46.01,1590.0
1769083212.9663427,9500.073746204376,0,55.0,43.9,1590.0
1769083212.9663427,9500.073746204376,1,54.0,42.08,1590.0
1769083212.9663427,9500.073746204376,2,57.0,44.75,1590.0
1769083212.9663427,9500.073746204376,3,58.0,44.56,1590.0
1769083214.5588253,9501.66622877121,0,55.0,43.15,1590.0
1769083214.5588253,9501.66622877121,1,54.0,44.0,1590.0
1769083214.5588253,9501.66622877121,2,57.0,44.17,1590.0
1769083214.5588253,9501.66622877121,3,58.0,45.82,1590.0
1769083216.1497266,9503.257130146027,0,55.0,44.97,1590.0
1769083216.1497266,9503.257130146027,1,55.0,42.57,1590.0
1769083216.1497266,9503.257130146027,2,57.0,43.59,1590.0
1769083216.1497266,9503.257130146027,3,58.0,44.56,1590.0
1769083217.7198892,9504.82729268074,0,55.0,43.54,1590.0
1769083217.7198892,9504.82729268074,1,54.0,42.38,1590.0
1769083217.7198892,9504.82729268074,2,57.0,44.65,1590.0
1769083217.7198892,9504.82729268074,3,58.0,46.01,1590.0
1769083219.5086672,9506.616070747375,0,55.0,43.35,1590.0
1769083219.5086672,9506.616070747375,1,55.0,42.08,1590.0
1769083219.5086672,9506.616070747375,2,57.0,44.94,1590.0
1769083219.5086672,9506.616070747375,3,58.0,45.91,1590.0
1769083221.0680027,9508.175406217575,0,55.0,43.35,1590.0
1769083221.0680027,9508.175406217575,1,54.0,44.19,1590.0
1769083221.0680027,9508.175406217575,2,57.0,45.31,1590.0
1769083221.0680027,9508.175406217575,3,58.0,45.62,1590.0
1769083222.6629007,9509.770304203033,0,55.0,43.9,1590.0
1769083222.6629007,9509.770304203033,1,54.0,42.08,1590.0
1769083222.6629007,9509.770304203033,2,57.0,44.94,1590.0
1769083222.6629007,9509.770304203033,3,58.0,44.19,1590.0
1769083224.2259533,9511.3333568573,0,55.0,43.35,1590.0
1769083224.2259533,9511.3333568573,1,54.0,42.57,1590.0
1769083224.2259533,9511.3333568573,2,57.0,43.68,1590.0
1769083224.2259533,9511.3333568573,3,58.0,46.01,1590.0
1769083225.818666,9512.926069498062,0,55.0,43.35,1590.0
1769083225.818666,9512.926069498062,1,54.0,42.47,1590.0
1769083225.818666,9512.926069498062,2,57.0,44.94,1590.0
1769083225.818666,9512.926069498062,3,58.0,45.62,1590.0
1769083227.4685817,9514.575985193253,0,55.0,43.54,1590.0
1769083227.4685817,9514.575985193253,1,54.0,42.28,1590.0
1769083227.4685817,9514.575985193253,2,57.0,44.65,1590.0
1769083227.4685817,9514.575985193253,3,58.0,45.91,1590.0
1769083229.265988,9516.373391628265,0,55.0,43.9,1590.0
1769083229.265988,9516.373391628265,1,54.0,42.67,1590.0
1769083229.265988,9516.373391628265,2,57.0,44.75,1590.0
1769083229.265988,9516.373391628265,3,58.0,45.72,1590.0
1769083230.8754258,9517.982829332352,0,55.0,43.93,1590.0
1769083230.8754258,9517.982829332352,1,54.0,42.08,1590.0
1769083230.8754258,9517.982829332352,2,57.0,43.59,1590.0
1769083230.8754258,9517.982829332352,3,58.0,44.56,1590.0
1769083232.4833796,9519.590783119202,0,55.0,43.83,1590.0
1769083232.4833796,9519.590783119202,1,54.0,44.0,1590.0
1769083232.4833796,9519.590783119202,2,57.0,44.65,1590.0
1769083232.4833796,9519.590783119202,3,58.0,44.56,1590.0
1769083234.0313802,9521.138783693314,0,55.0,43.93,1590.0
1769083234.0313802,9521.138783693314,1,54.0,42.08,1590.0
1769083234.0313802,9521.138783693314,2,57.0,44.94,1590.0
1769083234.0313802,9521.138783693314,3,58.0,45.82,1590.0
1769083235.5968018,9522.704205274582,0,55.0,43.35,1590.0
1769083235.5968018,9522.704205274582,1,54.0,42.57,1590.0
1769083235.5968018,9522.704205274582,2,57.0,44.94,1590.0
1769083235.5968018,9522.704205274582,3,58.0,44.56,1590.0
1769083237.209375,9524.316778421402,0,55.0,43.35,1590.0
1769083237.209375,9524.316778421402,1,54.0,41.89,1590.0
1769083237.209375,9524.316778421402,2,57.0,44.56,1590.0
1769083237.209375,9524.316778421402,3,58.0,44.56,1590.0
1769083238.7780929,9525.885496377945,0,55.0,43.81,1590.0
1769083238.7780929,9525.885496377945,1,54.0,42.08,1590.0
1769083238.7780929,9525.885496377945,2,57.0,44.94,1590.0
1769083238.7780929,9525.885496377945,3,58.0,44.56,1590.0
1769083240.3932843,9527.5006878376,0,55.0,44.78,1590.0
1769083240.3932843,9527.5006878376,1,54.0,44.0,1590.0
1769083240.3932843,9527.5006878376,2,57.0,44.85,1590.0
1769083240.3932843,9527.5006878376,3,58.0,45.04,1590.0
1769083242.0372298,9529.144633293152,0,55.0,43.35,1590.0
1769083242.0372298,9529.144633293152,1,54.0,42.06,1590.0
1769083242.0372298,9529.144633293152,2,57.0,44.85,1590.0
1769083242.0372298,9529.144633293152,3,58.0,45.91,1590.0
1769083243.5993166,9530.706720113754,0,55.0,43.93,1590.0
1769083243.5993166,9530.706720113754,1,54.0,42.08,1590.0
1769083243.5993166,9530.706720113754,2,57.0,44.75,1590.0
1769083243.5993166,9530.706720113754,3,58.0,44.56,1590.0
1769083245.1842258,9532.291629314423,0,55.0,43.61,1590.0
1769083245.1842258,9532.291629314423,1,54.0,42.57,1590.0
1769083245.1842258,9532.291629314423,2,57.0,43.59,1590.0
1769083245.1842258,9532.291629314423,3,58.0,44.36,1590.0
1769083246.756689,9533.864092588425,0,55.0,43.83,1590.0
1769083246.756689,9533.864092588425,1,54.0,42.08,1590.0
1769083246.756689,9533.864092588425,2,57.0,43.59,1590.0
1769083246.756689,9533.864092588425,3,58.0,44.46,1590.0
1769083248.3532798,9535.460683345795,0,55.0,43.64,1590.0
1769083248.3532798,9535.460683345795,1,54.0,42.67,1590.0
1769083248.3532798,9535.460683345795,2,57.0,44.36,1590.0
1769083248.3532798,9535.460683345795,3,58.0,44.56,1590.0
1769083249.9534016,9537.060805082321,0,55.0,43.32,1590.0
1769083249.9534016,9537.060805082321,1,54.0,42.67,1590.0
1769083249.9534016,9537.060805082321,2,57.0,43.59,1590.0
1769083249.9534016,9537.060805082321,3,58.0,44.58,1590.0
1769083251.5181084,9538.62551188469,0,55.0,44.97,1590.0
1769083251.5181084,9538.62551188469,1,54.0,44.0,1590.0
1769083251.5181084,9538.62551188469,2,57.0,44.94,1590.0
1769083251.5181084,9538.62551188469,3,58.0,45.82,1590.0
1769083253.0888073,9540.196210861206,0,55.0,45.07,1590.0
1769083253.0888073,9540.196210861206,1,54.0,44.0,1590.0
1769083253.0888073,9540.196210861206,2,57.0,43.68,1590.0
1769083253.0888073,9540.196210861206,3,58.0,46.01,1590.0
1769083254.7355347,9541.842938184738,0,55.0,43.35,1590.0
1769083254.7355347,9541.842938184738,1,54.0,42.08,1590.0
1769083254.7355347,9541.842938184738,2,57.0,44.94,1590.0
1769083254.7355347,9541.842938184738,3,58.0,46.11,1590.0
1769083256.3259118,9543.4333152771,0,55.0,43.9,1590.0
1769083256.3259118,9543.4333152771,1,54.0,42.08,1590.0
1769083256.3259118,9543.4333152771,2,57.0,43.59,1590.0
1769083256.3259118,9543.4333152771,3,58.0,46.01,1590.0
1769083257.94077,9545.048173427582,0,55.0,44.49,1590.0
1769083257.94077,9545.048173427582,1,54.0,41.89,1590.0
1769083257.94077,9545.048173427582,2,57.0,44.85,1590.0
1769083257.94077,9545.048173427582,3,58.0,45.82,1590.0
1769083259.510209,9546.617612600327,0,55.0,43.32,1590.0
1769083259.510209,9546.617612600327,1,54.0,42.08,1590.0
1769083259.510209,9546.617612600327,2,57.0,44.94,1590.0
1769083259.510209,9546.617612600327,3,58.0,44.56,1590.0
1769083261.1150084,9548.222411870956,0,55.0,43.71,1590.0
