config_id,src,dst,size,duration_ms,bandwidth_gbps,elapsed_s,src_temp,dst_temp,src_power,dst_power,src_clock_graphics,dst_clock_graphics
169,0,3,169538183,34.331666,4.938245146623529,2274.994316993164,54.0,56.0,37.58,38.73,1590.0,1590.0
171,0,2,621640003,130.048789,4.780052223323663,2323.70923438501,54.0,56.0,37.29,38.15,1590.0,1590.0
172,0,3,847690913,171.26948800000002,4.949456688981284,2380.4920373310547,55.0,57.0,43.83,45.82,1590.0,1590.0
175,0,1,169538183,37.035228000000004,4.577754536842597,2447.1621084521485,55.0,54.0,43.15,41.89,1590.0,1590.0
180,0,1,1,0.007456000000000001,0.00013412017167381971,2623.411083411133,54.0,54.0,43.06,41.79,1590.0,1590.0
184,0,3,904203641,183.505465,4.927393530214482,2746.640783765137,54.0,56.0,37.49,38.83,1590.0,1590.0
189,0,1,282563638,62.176394,4.544548498582918,2944.721395201172,54.0,53.0,37.19,36.61,1590.0,1590.0
192,0,1,1017229096,225.82206,4.504560342776077,3049.8345120332033,54.0,53.0,37.49,36.71,1590.0,1590.0
196,0,2,113025456,23.682598000000002,4.772510853750083,3173.766093307129,52.0,56.0,37.0,43.22,1590.0,1590.0
202,0,1,734665458,161.83113200000003,4.5397041281278305,3387.9540106501463,54.0,51.0,42.98,36.42,1590.0,1590.0
212,0,2,339076366,70.765263,4.791565121435357,3510.388312467041,54.0,57.0,43.64,44.17,1590.0,1590.0
217,0,1,1073741824,235.452866,4.560325988981591,3550.9503697490236,54.0,53.0,37.39,36.42,1590.0,1590.0
227,0,2,282563638,59.543404,4.745506958251831,3621.103753126221,54.0,56.0,37.31,37.95,1590.0,1590.0
230,0,1,565127276,124.132475,4.552614261497645,3661.921255680176,54.0,53.0,37.51,36.92,1590.0,1590.0
234,0,1,452101821,98.904111,4.571112529387176,3700.0400764780275,55.0,54.0,43.15,42.57,1590.0,1590.0
238,0,3,282563638,56.868837,4.96869028638655,3754.7356308671874,55.0,58.0,43.25,46.01,1590.0,1590.0
239,0,2,169538183,35.458673000000005,4.781289559256772,3757.7687623032225,55.0,56.0,43.22,43.39,1590.0,1590.0
5,1,3,169538183,33.581084000000004,5.048621509657043,63.06807989501953,53.0,52.0,36.53,37.78,1590.0,1590.0
6,1,0,847690913,189.385736,4.476001893827949,64.92424609594727,52.0,53.0,36.34,37.22,1590.0,1590.0
9,1,2,621640003,121.665984,5.109398556296557,100.89854025292969,52.0,53.0,43.54,43.22,1590.0,1590.0
12,1,3,395589093,79.312072,4.9877538566890545,116.62267174291992,52.0,53.0,43.71,45.53,1590.0,1590.0
